ID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,PROGRAMME__C,ORDER__C,PRODUCT__C,EXEMPTION_REASONS__C,EXEMPTIONS_ALLOWED__C,MODULE_NAME__C,NUMBER_OF_RESITS_ALLOWED__C
a3wb0000000c6IDAAY,FALSE,MOD-002235,GBP,1473411126000,005b0000000L061AAC,1473412777000,005b0000000L061AAC,1473513901000,a3zb0000000gzbIAAQ,40,01tb0000006FkbaAAC,,FALSE,<a href=""/a3wb0000000c6ID"" target=""_top"">ICA Advanced Certificate in Business Compliance - Virtual Classroom 2</a>,3
a3wb0000000c6IIAAY,FALSE,MOD-002236,GBP,1473411139000,005b0000000L061AAC,1473412805000,005b0000000L061AAC,1473513901000,a3zb0000000gzbIAAQ,50,01tb0000006FkbfAAC,,FALSE,<a href=""/a3wb0000000c6II"" target=""_top"">ICA Advanced Certificate in Business Compliance - Exam</a>,3
a3wb0000000c6INAAY,FALSE,MOD-002237,GBP,1473411276000,005b0000000L061AAC,1473411276000,005b0000000L061AAC,1473513901000,a3zb0000000gzbIAAQ,10,01tb0000006FkahAAC,,FALSE,<a href=""/a3wb0000000c6IN"" target=""_top"">ICA Advanced Certificate in Business Compliance Online - Registration</a>,3
a3wb0000000c6T2AAI,FALSE,MOD-002238,GBP,1473774303000,005b0000000L061AAC,1473774303000,005b0000000L061AAC,1473872663000,a3zb0000000h0UhAAI,10,01tb0000006FlAlAAK,,FALSE,<a href=""/a3wb0000000c6T2"" target=""_top"">ICA Foundation Certificate in Regulatory Compliance - HSBC</a>,3
a3wb0000000c6T7AAI,FALSE,MOD-002239,GBP,1473774380000,005b0000000L061AAC,1473774380000,005b0000000L061AAC,1473872663000,a3zb0000000h0UhAAI,20,01tb0000006FlAqAAK,,FALSE,<a href=""/a3wb0000000c6T7"" target=""_top"">ICA Foundation Certificate in Regulatory Compliance - HSBC - Workshop</a>,3
a3wb0000000gXCmAAM,FALSE,MOD-001911,GBP,1461595539000,005b0000000L1KUAA0,1461595539000,005b0000000L1KUAA0,1461595539000,a3zb0000000kWmRAAU,10,01tb00000057rJLAAY,,FALSE,<a href=""/a3wb0000000gXCm"" target=""_top"">Level 3 - Commercial Property - Registration</a>,99
a3wb0000000gXCrAAM,FALSE,MOD-001912,GBP,1461595550000,005b0000000L1KUAA0,1461595550000,005b0000000L1KUAA0,1461595550000,a3zb0000000kWmRAAU,20,01tb00000057rJQAAY,,FALSE,<a href=""/a3wb0000000gXCr"" target=""_top"">Level 3 - Commercial Property - Assignment 1</a>,99
a3wb0000000gXCwAAM,FALSE,MOD-001913,GBP,1461595562000,005b0000000L1KUAA0,1461595562000,005b0000000L1KUAA0,1461698833000,a3zb0000000kWmRAAU,30,01tb0000005AB1nAAG,,FALSE,<a href=""/a3wb0000000gXCw"" target=""_top"">Level 3 - Commercial Property - Assignment 2</a>,99
a3wb0000000gXDTAA2,FALSE,MOD-001914,GBP,1461836884000,005b0000000L061AAC,1461836884000,005b0000000L061AAC,1477444885000,a3zb0000000kWvOAAU,10,01tb00000057t3HAAQ,,FALSE,<a href=""/a3wb0000000gXDT"" target=""_top"">ICA Intl Diploma In Anti Money Laundering - Registration</a>,3
a3wb0000000gXDYAA2,FALSE,MOD-001915,GBP,1461836959000,005b0000000L061AAC,1461836959000,005b0000000L061AAC,1461836959000,a3zb0000000kWvOAAU,20,01tb0000004Mzz1AAC,,FALSE,<a href=""/a3wb0000000gXDY"" target=""_top"">ICA International Diploma In Anti Money Laundering - Exam</a>,3
a3wb0000000gXDsAAM,FALSE,MOD-001916,GBP,1461851159000,005b0000000L061AAC,1461851159000,005b0000000L061AAC,1461851159000,a3zb0000000kWwWAAU,10,01tb0000003DoNvAAK,,FALSE,<a href=""/a3wb0000000gXDs"" target=""_top"">Will Preparation - Registration</a>,3
a3wb0000000gXDtAAM,FALSE,MOD-001920,GBP,1461851197000,005b0000000L061AAC,1461851197000,005b0000000L061AAC,1461851197000,a3zb0000000kWwWAAU,50,01tb0000003wNCHAA2,,FALSE,<a href=""/a3wb0000000gXDt"" target=""_top"">Will Preparation - Workshop 2</a>,3
a3wb0000000gXDxAAM,FALSE,MOD-001917,GBP,1461851170000,005b0000000L061AAC,1461851170000,005b0000000L061AAC,1461851170000,a3zb0000000kWwWAAU,20,01tb0000003DoNxAAK,,FALSE,<a href=""/a3wb0000000gXDx"" target=""_top"">Will Preparation - Registration</a>,3
a3wb0000000gXE2AAM,FALSE,MOD-001918,GBP,1461851178000,005b0000000L061AAC,1461851178000,005b0000000L061AAC,1461851178000,a3zb0000000kWwWAAU,30,01tb0000003DoOTAA0,,FALSE,<a href=""/a3wb0000000gXE2"" target=""_top"">Will Preparation - Workshop 1</a>,3
