ID,OWNERID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,LASTVIEWEDDATE,LASTREFERENCEDDATE,BRAND__C,BRAND_TEXT__C,NO_OF_PROGRAMME_PASSES_REQUIRED__C
a41b0000000PJMzAAO,005b00000024A7xAAE,FALSE,ICA Certificate in Anti Money Laundering,GBP,1449158771000,005b00000024A7xAAE,1452011583000,005b0000000L061AAC,1518834807000,,,,a39b00000008hMSAAY,ICT,1
a410X000000kQECQA2,005b0000005tEONAA2,FALSE,ICA Diploma in Compliance - Recertification,GBP,1516198659000,005b0000005tEONAA2,1516198659000,005b0000005tEONAA2,1524276232000,,,,a39b00000008hMSAAY,ICT,9
a410X000000tTqjQAE,005b0000002eGGJAA2,FALSE,ICA Certificate in Financial Crime Prevention,GBP,1551457364000,005b0000002eGGJAA2,1551457364000,005b0000002eGGJAA2,1551457364000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a410X000001EQqiQAG,0050X000008uoG9QAI,FALSE,ICA HSBC Elective Units,GBP,1572520117000,0050X000008uoG9QAI,1572520985000,0050X000008uoG9QAI,1572520985000,,,,a39b00000008hMSAAY,ICT,10
a41b0000000Je3KAAS,005b0000000L061AAC,FALSE,ICA Certificate in Compliance,GBP,1507624926000,005b0000000L061AAC,1507624927000,005b0000000L061AAC,1512227106000,,,,a39b0000000HlhtAAC,ICT North America,1
a41b0000000PJN2AAO,005b00000024A7xAAE,FALSE,"ICA Professional Postgraduate Dip in Governance, Risk & Compliance",GBP,1449158771000,005b00000024A7xAAE,1470058854000,005b0000000L061AAC,1508559584000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJN5AAO,005b00000024A7xAAE,FALSE,ICA Advanced Certificate in Anti Money Laundering,GBP,1449158771000,005b00000024A7xAAE,1452597844000,005b0000000L061AAC,1527261328000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJN6AAO,005b00000024A7xAAE,FALSE,ICA Diploma in Anti Money Laundering,GBP,1449158771000,005b00000024A7xAAE,1453241177000,005b0000000L061AAC,1520390067000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJN9AAO,005b00000024A7xAAE,FALSE,"ICA Diploma in Governance, Risk & Compliance",GBP,1449158771000,005b00000024A7xAAE,1484560509000,005b0000000L061AAC,1526693602000,,,,a39b00000008hMSAAY,ICT,1
a41b0000000PJNAAA4,005b00000024A7xAAE,FALSE,ICA Certificate in Compliance,USD,1449158771000,005b00000024A7xAAE,1453724836000,005b0000000L061AAC,1526607258000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a41b0000000PJNCAA4,005b00000024A7xAAE,FALSE,ICA International Advanced Certificate in Anti Money Laundering,USD,1449158771000,005b00000024A7xAAE,1493976452000,005b0000000L061AAC,1512227106000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a41b0000000PJNHAA4,005b00000024A7xAAE,FALSE,ICA International Diploma In Anti Money Laundering,USD,1449158771000,005b00000024A7xAAE,1456498475000,005b0000000L061AAC,1493401894000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a41b0000000PJNIAA4,005b00000024A7xAAE,FALSE,SQLICD-International Diploma In Compliance,USD,1449158771000,005b00000024A7xAAE,1449158771000,005b00000024A7xAAE,1521735113000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a41b0000000PJNNAA4,005b00000024A7xAAE,FALSE,ICA Advanced Certificate Anti Money Laundering,SGD,1449158771000,005b00000024A7xAAE,1457908577000,005b0000000L061AAC,1510098576000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000PJNOAA4,005b00000024A7xAAE,FALSE,"ICA Advanced Certificate in Governance, Risk and Compliance",SGD,1449158771000,005b00000024A7xAAE,1453175525000,005b0000000L061AAC,1522287197000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000PJNPAA4,005b00000024A7xAAE,FALSE,SQLSNG-Australia - Diploma in Applied AML & CTF,SGD,1449158771000,005b00000024A7xAAE,1453175574000,005b0000000L061AAC,1521735113000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000PJNUAA4,005b00000024A7xAAE,FALSE,"ICA Intl Diploma in Governance, Risk & Compliance",SGD,1449158771000,005b00000024A7xAAE,1457908966000,005b0000000L061AAC,1502823762000,,,,a39b0000000Tdo9AAC,ICTA,1
a410X000000LlIqQAK,005b0000002eGGJAA2,FALSE,SHRM Certified Professional,GBP,1554373760000,005b0000002eGGJAA2,1554373760000,005b0000002eGGJAA2,1554373760000,,,,a39b0000000HoN2AAK,Matchett,1
a410X000000LlIvQAK,005b0000002eGGJAA2,FALSE,SHRM Senior Certified Professional,GBP,1554376003000,005b0000002eGGJAA2,1554376003000,005b0000002eGGJAA2,1554376003000,,,,a39b0000000HoN2AAK,Matchett,1
a410X000000LlJKQA0,005b0000002eGGJAA2,FALSE,RHB Compliance Review,GBP,1554903082000,005b0000002eGGJAA2,1554903082000,005b0000002eGGJAA2,1554903082000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a410X000000LlKmQAK,005b0000002eGGJAA2,FALSE,ICA Advanced Certificate in Regulatory Compliance,GBP,1555409000000,005b0000002eGGJAA2,1555409000000,005b0000002eGGJAA2,1555409000000,,,,a39b0000000Tdo9AAC,ICTA,1
a410X000000LlMJQA0,005b0000002eGGJAA2,FALSE,ICA Certificate in KYC & CDD,GBP,1556881310000,005b0000002eGGJAA2,1556881311000,005b0000002eGGJAA2,1556881311000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a410X000000LlMOQA0,005b0000002eGGJAA2,FALSE,ICA Certificate,GBP,1556882069000,005b0000002eGGJAA2,1556882069000,005b0000002eGGJAA2,1556882069000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a410X000000LlMnQAK,005b0000000L1KUAA0,FALSE,ICTA Certificate in Anti Money Laundering Investigations,GBP,1557387086000,005b0000000L1KUAA0,1558518473000,005b0000000L1KUAA0,1558518473000,,,,a39b0000000Tdo9AAC,ICTA,1
a410X000000LlNHQA0,005b0000000L1KUAA0,FALSE,Advanced Specialist Training in AML/CFT Bank Supervisory Examination,GBP,1558518686000,005b0000000L1KUAA0,1558687972000,005b0000000L1KUAA0,1558687972000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a410X000000LlNMQA0,005b0000000L1KUAA0,FALSE,STEP Advanced Certificate in Family Business Governance,GBP,1558616316000,005b0000000L1KUAA0,1558616419000,005b0000000L1KUAA0,1558616419000,,,,a39b00000008fYRAAY,CLT International,1
a410X000000kQEHQA2,005b0000005tEONAA2,FALSE,ICA Diploma in Anti Money Laundering - Recertification,GBP,1516198996000,005b0000005tEONAA2,1516198996000,005b0000005tEONAA2,1524276232000,,,,a39b00000008hMSAAY,ICT,9
a410X000000kQMVQA2,005b0000005tEONAA2,FALSE,ICA Certificate in KYC & CDD,GBP,1519819897000,005b0000005tEONAA2,1519819897000,005b0000005tEONAA2,1519871585000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a410X000000koSJQAY,0050X000008uoG9QAI,FALSE,ICA Specialist Certificate in Money Laundering Risk in New Technology SCB,GBP,1588677457000,0050X000008uoG9QAI,1588677457000,0050X000008uoG9QAI,1588677457000,,,,a39b0000000Tdo9AAC,ICTA,1
a410X000000tBNrQAM,005b0000000L1KUAA0,FALSE,Best Interest Assessor (BIA),GBP,1512397682000,005b0000000L1KUAA0,1512994340000,005b0000000L061AAC,1524015269000,,,,a39b0000000HoE0AAK,Bond Solon,2
a410X000000tBNwQAM,005b0000000L1KUAA0,FALSE,Cardiff University Bond Solon Expert Certificate,GBP,1512397701000,005b0000000L1KUAA0,1512397701000,005b0000000L1KUAA0,1521772307000,,,,a39b0000000HoE0AAK,Bond Solon,5
a410X000000tBOBQA2,005b0000000L1KUAA0,FALSE,Medico Legal Certificate,GBP,1512397746000,005b0000000L1KUAA0,1512397746000,005b0000000L1KUAA0,1517884430000,,,,a39b0000000HoE0AAK,Bond Solon,10
a410X000000tTonQAE,005b0000000L1KUAA0,FALSE,Immigration and Asylum Accreditation Scheme,GBP,1550488007000,005b0000000L1KUAA0,1550488007000,005b0000000L1KUAA0,1550488007000,,,,a39b0000000blRXAAY,Central Law Training,10
a410X000000wnOSQAY,005b0000000L1KUAA0,FALSE,ICA Certificate in Regulatory Compliance,GBP,1526554725000,005b0000000L1KUAA0,1526554725000,005b0000000L1KUAA0,1526607258000,,,,a39b00000008hMSAAY,ICT,1
a410X000000wnOXQAY,005b0000000L1KUAA0,FALSE,ICA Certificate in Regulatory Compliance,GBP,1526562087000,005b0000000L1KUAA0,1526562087000,005b0000000L1KUAA0,1526607258000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a410X000000wnOhQAI,005b0000000L1KUAA0,FALSE,ICA International Advanced Certificate in Regulatory Compliance,GBP,1526635072000,005b0000000L1KUAA0,1526635072000,005b0000000L1KUAA0,1526693602000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a410X000000wnlgQAA,005b0000000L1KUAA0,FALSE,ICA Certificate in AML and Sanctions Compliance,GBP,1537519119000,005b0000000L1KUAA0,1537519119000,005b0000000L1KUAA0,1537519119000,,,,a39b00000008hMSAAY,ICT,1
a410X000000wo1PQAQ,005b0000002eGGJAA2,FALSE,STEP Certificate,GBP,1547548495000,005b0000002eGGJAA2,1547548495000,005b0000002eGGJAA2,1547548495000,,,,a390X000000ouSkQAI,CLT International Hong Kong,1
a410X000000wo1UQAQ,005b0000002eGGJAA2,FALSE,STEP Diploma in International Trust Management,GBP,1547548536000,005b0000002eGGJAA2,1547552137000,005b0000002eGGJAA2,1547552138000,,,,a390X000000ouSkQAI,CLT International Hong Kong,4
a410X000000wo2XQAQ,005b0000002eGGJAA2,FALSE,ICA Advanced Certificate in Anti Money Laundering,GBP,1548413586000,005b0000002eGGJAA2,1548413586000,005b0000002eGGJAA2,1548413586000,,,,a39b0000000Tdo9AAC,ICTA,1
a410X0000015stLQAQ,005b0000000L1KUAA0,FALSE,Certification in Regulatory Compliance,GBP,1562231308000,005b0000000L1KUAA0,1562231308000,005b0000000L1KUAA0,1562231308000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a410X0000015stVQAQ,005b0000000L1KUAA0,FALSE,Certified Professional in AML/CFT,GBP,1562235294000,005b0000000L1KUAA0,1562235294000,005b0000000L1KUAA0,1562235294000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a410X000001ER5sQAG,0050X000008uoG9QAI,FALSE,ICA Certificate in Financial Crime Prevention,GBP,1576851634000,0050X000008uoG9QAI,1576851634000,0050X000008uoG9QAI,1576851634000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a410X000001ERITQA4,0050X00000A79ttQAB,FALSE,ICA Specialist Certificate in Money Laundering Risk in New Technology,GBP,1581453303000,0050X00000A79ttQAB,1581514065000,0050X00000A79ttQAB,1581514065000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
